[17: 55: 29] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/pos/user_using HTTP/1.1 [status]: 200 [response-time]: 9.837 ms [client]: PostmanRuntime/7.19.0
[17: 55: 29] [ip]: ::ffff:192.168.1.43 - [method]: GET [url]: /api/v1/pos/show_user HTTP/1.1 [status]: 304 [response-time]: 1.258 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[17: 55: 29] [ip]: ::ffff:192.168.1.43 - [method]: POST [url]: /api/v1/pos/user_using HTTP/1.1 [status]: 200 [response-time]: 2.101 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[17: 55: 29] [ip]: ::ffff:192.168.1.43 - [method]: GET [url]: /api/v1/pos/show_user HTTP/1.1 [status]: 304 [response-time]: 0.814 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[17: 55: 29] [ip]: ::ffff:192.168.1.43 - [method]: POST [url]: /api/v1/pos/user_using HTTP/1.1 [status]: 200 [response-time]: 2.061 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[17: 55: 29] [ip]: ::ffff:192.168.1.43 - [method]: GET [url]: /api/v1/pos/user_using HTTP/1.1 [status]: 404 [response-time]: 0.397 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[17: 55: 29] [ip]: ::ffff:192.168.1.43 - [method]: GET [url]: /api/v1/pos/show_user HTTP/1.1 [status]: 304 [response-time]: 0.611 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[17: 55: 29] [ip]: ::ffff:192.168.1.43 - [method]: POST [url]: /api/v1/pos/user_using HTTP/1.1 [status]: 200 [response-time]: 2.172 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[17: 55: 29] [ip]: ::ffff:192.168.1.43 - [method]: GET [url]: /api/v1/pos/user_using HTTP/1.1 [status]: 404 [response-time]: 0.208 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[17: 55: 29] [ip]: ::ffff:192.168.1.43 - [method]: GET [url]: /api/v1/pos/show_user HTTP/1.1 [status]: 304 [response-time]: 0.803 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
