[00: 35: 13] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/product/get_product_ex HTTP/1.1 [status]: 200 [response-time]: 4.324 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
[00: 35: 13] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/product/user_status HTTP/1.1 [status]: 200 [response-time]: 1.769 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
[00: 35: 13] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/receipt/image/receipt_1.png HTTP/1.1 [status]: 304 [response-time]: 19.805 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
[00: 35: 13] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/product/ex_status2 HTTP/1.1 [status]: 200 [response-time]: 0.140 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
[00: 35: 13] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/product/ex_status2 HTTP/1.1 [status]: 200 [response-time]: 20.878 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
[00: 35: 13] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/product/ex_status HTTP/1.1 [status]: 200 [response-time]: 1.176 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
[00: 35: 13] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/product/ex_status HTTP/1.1 [status]: 200 [response-time]: 0.824 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
[00: 35: 13] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/receipt/detail_ex HTTP/1.1 [status]: 200 [response-time]: 0.138 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
[00: 35: 13] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/product/get_product_ex HTTP/1.1 [status]: 200 [response-time]: 0.097 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
[00: 35: 13] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/product/user_status HTTP/1.1 [status]: 200 [response-time]: 0.104 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
