[01: 31: 54] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/product/ex_status HTTP/1.1 [status]: 304 [response-time]: 2.073 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.162 Safari/537.36
[01: 36: 27] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/product/ex_status HTTP/1.1 [status]: 200 [response-time]: 3.311 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.162 Safari/537.36
[01: 36: 27] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/product/ex_status HTTP/1.1 [status]: 304 [response-time]: 16.005 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.162 Safari/537.36
[01: 36: 27] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/product/ex_status HTTP/1.1 [status]: 304 [response-time]: 0.838 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.162 Safari/537.36
[01: 36: 27] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/product/get_status2 HTTP/1.1 [status]: 200 [response-time]: 0.172 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.162 Safari/537.36
[01: 36: 27] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/product/get_status2 HTTP/1.1 [status]: 304 [response-time]: 0.821 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.162 Safari/537.36
[01: 36: 27] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/product/ex_status HTTP/1.1 [status]: 200 [response-time]: 0.218 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.162 Safari/537.36
[01: 36: 27] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/product/ex_status HTTP/1.1 [status]: 304 [response-time]: 0.797 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.162 Safari/537.36
[01: 36: 27] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/product/get_status2 HTTP/1.1 [status]: 200 [response-time]: 0.124 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.162 Safari/537.36
[01: 36: 27] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/product/get_status2 HTTP/1.1 [status]: 304 [response-time]: 0.836 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.162 Safari/537.36
[01: 36: 27] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/product/ex_status HTTP/1.1 [status]: 200 [response-time]: 0.118 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.162 Safari/537.36
[01: 36: 27] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/product/ex_status HTTP/1.1 [status]: 304 [response-time]: 0.781 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.162 Safari/537.36
[01: 36: 27] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/product/get_status2 HTTP/1.1 [status]: 200 [response-time]: 0.507 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.162 Safari/537.36
[01: 36: 27] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/product/get_status2 HTTP/1.1 [status]: 304 [response-time]: 0.726 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.162 Safari/537.36
[01: 37: 51] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/product/get_status2 HTTP/1.1 [status]: 200 [response-time]: 5.368 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.162 Safari/537.36
[01: 37: 51] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/product/get_status2 HTTP/1.1 [status]: 304 [response-time]: 3.944 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.162 Safari/537.36
[01: 37: 51] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/product/ex_status HTTP/1.1 [status]: 200 [response-time]: 0.190 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.162 Safari/537.36
[01: 37: 51] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/product/ex_status HTTP/1.1 [status]: 304 [response-time]: 1.000 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.162 Safari/537.36
[01: 37: 51] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/product/get_status2 HTTP/1.1 [status]: 200 [response-time]: 0.127 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.162 Safari/537.36
