[01: 41: 54] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/product/get_course_sell HTTP/1.1 [status]: 304 [response-time]: 25618.488 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[01: 41: 54] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/product/check_personal_id HTTP/1.1 [status]: 200 [response-time]: 0.174 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[01: 41: 54] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/product/check_personal_id HTTP/1.1 [status]: 200 [response-time]: 287.555 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[01: 41: 54] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/product/get_course_sell HTTP/1.1 [status]: 200 [response-time]: 0.276 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[01: 41: 54] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/product/get_course_sell HTTP/1.1 [status]: 304 [response-time]: 288.525 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[01: 41: 54] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/product/check_personal_id HTTP/1.1 [status]: 200 [response-time]: 0.209 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[01: 41: 54] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/product/check_personal_id HTTP/1.1 [status]: 200 [response-time]: 288.654 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[01: 41: 54] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/product/check_personal_id HTTP/1.1 [status]: 200 [response-time]: 539.180 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[01: 41: 54] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/product/check_personal_id HTTP/1.1 [status]: 200 [response-time]: 291.664 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[01: 41: 54] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/product/check_personal_id HTTP/1.1 [status]: 200 [response-time]: 290.663 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[01: 41: 54] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/product/check_personal_id HTTP/1.1 [status]: 200 [response-time]: 0.128 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[01: 41: 54] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/product/check_personal_id HTTP/1.1 [status]: 200 [response-time]: 288.145 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[01: 41: 54] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/product/check_personal_id HTTP/1.1 [status]: 200 [response-time]: 530.858 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[01: 41: 54] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/product/check_personal_id HTTP/1.1 [status]: 200 [response-time]: 287.553 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[01: 41: 54] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/product/check_personal_id HTTP/1.1 [status]: 200 [response-time]: 0.138 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[01: 41: 54] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/product/check_personal_id HTTP/1.1 [status]: 200 [response-time]: 287.457 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[01: 41: 54] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/product/check_personal_id HTTP/1.1 [status]: 200 [response-time]: 515.112 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[01: 41: 54] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/product/get_course_sell HTTP/1.1 [status]: 200 [response-time]: 0.155 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[01: 41: 54] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/product/get_course_sell HTTP/1.1 [status]: 304 [response-time]: 290.415 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[01: 41: 54] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/product/check_personal_id HTTP/1.1 [status]: 200 [response-time]: 0.133 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[01: 41: 54] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/product/check_personal_id HTTP/1.1 [status]: 200 [response-time]: 287.908 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[01: 41: 54] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/product/get_course_sell HTTP/1.1 [status]: 200 [response-time]: 0.265 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[01: 41: 54] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/product/get_course_sell HTTP/1.1 [status]: - [response-time]: - ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[02: 06: 21] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/promotion/get_promotion HTTP/1.1 [status]: 200 [response-time]: 3.884 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
